"","parameter","p3_tu_gu_st","p3_tc_gc_st"
"theta1_1.mu","theta1_1.mu","9.64 (7.01, 13.27)","7.44 (5.39, 9.37)"
"theta1_2.mu","theta1_2.mu","1.00 (0.30, 4.00)","1.81 (1.22, 2.77)"
"theta1_3.mu","theta1_3.mu","10.82 (7.81, 15.20)","6.75 (5.10, 8.87)"
"theta2_1.mu","theta2_1.mu","1.43 (0.95, 1.94)",
"theta2_2.mu","theta2_2.mu","0.63 (0.16, 1.36)",
"theta2_3.mu","theta2_3.mu","1.65 (1.17, 1.98)",
"theta3_1.mu","theta3_1.mu","5.21 (3.77, 6.95)",
"theta3_2.mu","theta3_2.mu","1.33 (0.61, 1.70)",
"theta3_3.mu","theta3_3.mu","4.23 (3.22, 5.55)",
"gamma.mu","gamma.mu",,"0.69 (0.50, 0.94)"
"theta2.mu","theta2.mu",,"1.28 (0.81, 1.80)"
"sigma.mu","sigma.mu","1.88 (1.36, 2.59)","2.09 (1.53, 2.83)"
"theta1_1.sigma","theta1_1.sigma","5.44 (3.45, 9.30)","2.41 (1.29, 3.97)"
"theta1_2.sigma","theta1_2.sigma","1.58 (0.31, 9.50)","0.66 (0.34, 1.30)"
"theta1_3.sigma","theta1_3.sigma","6.10 (3.83, 9.69)","2.65 (1.66, 4.10)"
"theta2_1.sigma","theta2_1.sigma","1.30 (0.75, 1.93)",
"theta2_2.sigma","theta2_2.sigma","0.54 (0.01, 1.76)",
"theta2_3.sigma","theta2_3.sigma","1.61 (1.05, 1.98)",
"theta3_1.sigma","theta3_1.sigma","2.67 (1.48, 4.62)",
"theta3_2.sigma","theta3_2.sigma","0.29 (0.06, 0.53)",
"theta3_3.sigma","theta3_3.sigma","0.61 (0.13, 1.31)",
"gamma.sigma","gamma.sigma",,"0.37 (0.19, 0.65)"
"theta2.sigma","theta2.sigma",,"1.42 (0.79, 1.96)"
"sigma.sigma","sigma.sigma","1.48 (0.96, 2.41)","1.56 (1.01, 2.45)"
"lambda[1,1]","lambda[1,1]","-0.09 (-0.29, 0.13)","0.03 (-0.16, 0.26)"
"lambda[1,2]","lambda[1,2]","1.08 (0.92, 1.31)","1.00 (0.49, 1.30)"
"lambda[1,3]","lambda[1,3]","-0.49 (-0.79, -0.26)","-0.44 (-0.68, -0.20)"
"lambda[2,1]","lambda[2,1]","0.37 (0.28, 0.46)","0.50 (0.42, 0.58)"
"lambda[2,2]","lambda[2,2]","0.16 (0.02, 0.29)","-0.22 (-0.35, -0.08)"
"lambda[2,3]","lambda[2,3]","0.27 (0.07, 0.52)","0.55 (0.39, 0.74)"
"lambda[3,1]","lambda[3,1]","0.41 (0.33, 0.48)","0.45 (0.37, 0.53)"
"lambda[3,2]","lambda[3,2]","0.07 (-0.03, 0.17)","-0.13 (-0.23, -0.04)"
"lambda[3,3]","lambda[3,3]","0.23 (0.08, 0.40)","0.31 (0.17, 0.45)"
"lambda[4,1]","lambda[4,1]","0.18 (0.10, 0.26)","0.11 (0.04, 0.20)"
"lambda[4,2]","lambda[4,2]","0.42 (0.33, 0.54)","0.56 (0.46, 0.66)"
"lambda[4,3]","lambda[4,3]","-0.04 (-0.28, 0.17)","-0.17 (-0.37, 0.00)"
"lambda[5,1]","lambda[5,1]","0.05 (-0.01, 0.12)","0.00 (-0.08, 0.07)"
"lambda[5,2]","lambda[5,2]","-0.18 (-0.26, -0.11)","0.00 (-0.10, 0.09)"
"lambda[5,3]","lambda[5,3]","-0.06 (-0.21, 0.09)","-0.09 (-0.23, 0.04)"
"lambda[6,1]","lambda[6,1]","0.02 (-0.05, 0.09)","-0.04 (-0.13, 0.06)"
"lambda[6,2]","lambda[6,2]","0.22 (0.13, 0.32)","0.28 (0.17, 0.38)"
"lambda[6,3]","lambda[6,3]","-0.25 (-0.42, -0.06)","-0.23 (-0.39, -0.07)"
"deviance","deviance","3285.58797666908","3633.2029339261"
"penalty","penalty","213.546498415776","164.855635310946"
"penalised_deviance","penalised_deviance","3499.13447508486","3798.05856923705"
