"","Mean","CI_2.5","CI_97.5","text"
"lambda[1,1]",0.914564100223434,0.745111319251755,1.142231690414,"0.91 (0.75, 1.14)"
"lambda[2,1]",1.45163710499952,1.31738754231911,1.5793138851984,"1.45 (1.32, 1.58)"
"lambda[3,1]",1.51046068274719,1.39390815679367,1.60955759827558,"1.51 (1.39, 1.61)"
"lambda[4,1]",1.19707088385123,1.10634183189797,1.30224881315897,"1.20 (1.11, 1.30)"
"lambda[5,1]",1.05207504374418,0.989316208921278,1.12618571611751,"1.05 (0.99, 1.13)"
"lambda[6,1]",1.01786252705043,0.948270673388528,1.09349412678726,"1.02 (0.95, 1.09)"
"lambda[1,2]",2.93706046126385,2.50183785746998,3.6910691379277,"2.94 (2.50, 3.69)"
"lambda[2,2]",1.17485959748374,1.02065813177684,1.33993974450604,"1.17 (1.02, 1.34)"
"lambda[3,2]",1.07681530355117,0.966538973092795,1.18051862715137,"1.08 (0.97, 1.18)"
"lambda[4,2]",1.5268269264516,1.3953238740945,1.7106437735279,"1.53 (1.40, 1.71)"
"lambda[5,2]",0.83185765138514,0.772632841016816,0.89571301142236,"0.83 (0.77, 0.90)"
"lambda[6,2]",1.24826000226039,1.14073527228636,1.38196040364913,"1.25 (1.14, 1.38)"
"lambda[1,3]",0.611334147168388,0.454594362403101,0.768758209995799,"0.61 (0.45, 0.77)"
"lambda[2,3]",1.31623096134334,1.07160079121898,1.68165357512801,"1.32 (1.07, 1.68)"
"lambda[3,3]",1.25783821339508,1.08315166079443,1.49273798291658,"1.26 (1.08, 1.49)"
"lambda[4,3]",0.961993044760768,0.752486920805168,1.18616657042369,"0.96 (0.75, 1.19)"
"lambda[5,3]",0.941600317964874,0.810142800093682,1.09752486469666,"0.94 (0.81, 1.10)"
"lambda[6,3]",0.780954642662511,0.654018201599465,0.943150412578758,"0.78 (0.65, 0.94)"
