"","Mean","CI_2.5","CI_97.5"
"lambda[1,1]",-0.0893077204163406,-0.294221649950469,0.132983971929397
"lambda[2,1]",0.372691957479198,0.275650640916733,0.456990502850661
"lambda[3,1]",0.412414692209023,0.332111425514811,0.475959357556654
"lambda[4,1]",0.179877642743351,0.101058925779876,0.264092626265493
"lambda[5,1]",0.0507644461289292,-0.010741272554614,0.118836450502316
"lambda[6,1]",0.01770486681917,-0.0531152970282886,0.089378190098097
"lambda[1,2]",1.07740923806651,0.9170256047769,1.30591615536192
"lambda[2,2]",0.161148648953243,0.0204476464587778,0.292624646165248
"lambda[3,2]",0.0740078918719452,-0.0340336572017893,0.165953856454412
"lambda[4,2]",0.42319167760689,0.333126556136234,0.536869775412668
"lambda[5,2]",-0.184093944884017,-0.257951322512774,-0.110135217065959
"lambda[6,2]",0.22175058339303,0.131673030188763,0.323503073451033
"lambda[1,3]",-0.492111583588723,-0.788349768865621,-0.262978780249105
"lambda[2,3]",0.274772320044891,0.0691535970409562,0.519777580247699
"lambda[3,3]",0.22939454380353,0.0798749958824782,0.400612006113836
"lambda[4,3]",-0.0387480583209784,-0.284371663499967,0.170726737951259
"lambda[5,3]",-0.0601743853504072,-0.210544750442086,0.0930575214706054
"lambda[6,3]",-0.247238206805225,-0.424620096720377,-0.0585295047428422
