"","parameter","e3_tu_gu_sf","p3_tu_gu_sf","p3_tc_gc_sf"
"theta1_1.mu","theta1_1.mu","17.51 (13.59, 22.87)","20.73 (16.00, 27.17)","16.29 (12.77, 20.61)"
"theta1_2.mu","theta1_2.mu","3.15 (1.58, 6.05)","5.45 (2.56, 10.39)","8.44 (6.40, 11.17)"
"theta1_3.mu","theta1_3.mu","8.81 (6.60, 11.49)","10.26 (7.85, 13.55)","7.36 (5.65, 9.70)"
"theta2_1.mu","theta2_1.mu","0.84 (0.55, 1.27)","1.01 (0.75, 1.35)",
"theta2_2.mu","theta2_2.mu","0.21 (0.08, 0.52)","0.32 (0.17, 0.61)",
"theta2_3.mu","theta2_3.mu","1.39 (0.88, 1.91)","1.64 (1.19, 1.98)",
"theta3_1.mu","theta3_1.mu","8.19 (6.90, 9.97)","5.94 (4.27, 8.75)",
"theta3_2.mu","theta3_2.mu","5.41 (4.03, 7.02)","3.98 (1.94, 5.86)",
"theta3_3.mu","theta3_3.mu","3.42 (2.53, 6.10)","2.41 (2.14, 2.78)",
"gamma.mu","gamma.mu",,,"0.46 (0.31, 0.68)"
"theta2.mu","theta2.mu",,,"0.72 (0.49, 1.06)"
"sigma.mu","sigma.mu","2.11 (1.57, 2.87)","2.13 (1.59, 2.89)","2.56 (2.00, 3.26)"
"theta1_1.sigma","theta1_1.sigma","10.53 (6.99, 16.56)","12.62 (8.56, 19.90)","8.94 (5.98, 13.78)"
"theta1_2.sigma","theta1_2.sigma","4.54 (2.01, 11.45)","6.97 (3.13, 16.55)","5.48 (3.66, 8.57)"
"theta1_3.sigma","theta1_3.sigma","5.05 (3.18, 7.93)","6.36 (4.15, 10.00)","4.39 (2.84, 6.92)"
"theta2_1.sigma","theta2_1.sigma","0.74 (0.41, 1.31)","0.59 (0.36, 0.99)",
"theta2_2.sigma","theta2_2.sigma","0.14 (0.02, 0.65)","0.08 (0.00, 0.34)",
"theta2_3.sigma","theta2_3.sigma","1.51 (0.73, 1.98)","1.54 (1.00, 1.97)",
"theta3_1.sigma","theta3_1.sigma","3.36 (2.15, 5.27)","3.65 (1.85, 7.97)",
"theta3_2.sigma","theta3_2.sigma","2.94 (2.02, 4.52)","2.80 (1.67, 5.02)",
"theta3_3.sigma","theta3_3.sigma","1.49 (0.43, 5.08)","0.39 (0.04, 0.84)",
"gamma.sigma","gamma.sigma",,,"0.31 (0.14, 0.65)"
"theta2.sigma","theta2.sigma",,,"0.52 (0.29, 0.95)"
"sigma.sigma","sigma.sigma","1.55 (1.03, 2.41)","1.57 (1.03, 2.42)","1.52 (1.01, 2.31)"
"deviance","deviance","3659.94293460825","3667.79026677596","4332.84602424893"
"penalty","penalty","228.917729529846","195.010520545996","155.841392040843"
"penalised_deviance","penalised_deviance","3888.8606641381","3862.80078732195","4488.68741628977"
