"","parameter","p3_tu_gu_st","p3_tc_gc_st"
"theta1_1.mu","theta1_1.mu","14.58 (9.78, 19.41)","13.56 (10.22, 17.07)"
"theta1_2.mu","theta1_2.mu","2.29 (0.60, 4.72)","2.08 (0.83, 3.32)"
"theta1_3.mu","theta1_3.mu","8.67 (6.37, 11.10)","8.94 (6.91, 11.15)"
"theta2_1.mu","theta2_1.mu","-0.90 (-1.00, -0.64)",
"theta2_2.mu","theta2_2.mu","-0.50 (-0.80, -0.18)",
"theta2_3.mu","theta2_3.mu","-0.89 (-1.00, -0.65)",
"theta3_1.mu","theta3_1.mu","3.42 (1.10, 5.78)",
"theta3_2.mu","theta3_2.mu","0.37 (0.01, 1.26)",
"theta3_3.mu","theta3_3.mu","3.53 (1.01, 5.12)",
"gamma.mu","gamma.mu",,"0.36 (0.21, 0.52)"
"theta2.mu","theta2.mu",,"-0.90 (-1.00, -0.64)"
"sigma.mu","sigma.mu","0.58 (0.02, 1.53)","0.66 (0.03, 1.69)"
"theta1_1.sigma","theta1_1.sigma","11.41 (8.24, 15.77)","8.06 (5.70, 11.45)"
"theta1_2.sigma","theta1_2.sigma","2.15 (0.03, 3.63)","2.36 (1.61, 3.42)"
"theta1_3.sigma","theta1_3.sigma","5.13 (3.50, 7.35)","4.85 (3.43, 6.79)"
"theta2_1.sigma","theta2_1.sigma","1.16 (0.72, 1.78)",
"theta2_2.sigma","theta2_2.sigma","0.19 (0.04, 0.45)",
"theta2_3.sigma","theta2_3.sigma","1.06 (0.60, 1.68)",
"theta3_1.sigma","theta3_1.sigma","2.25 (1.10, 3.65)",
"theta3_2.sigma","theta3_2.sigma","1.06 (0.36, 3.08)",
"theta3_3.sigma","theta3_3.sigma","0.97 (0.05, 4.49)",
"gamma.sigma","gamma.sigma",,"0.27 (0.16, 0.42)"
"theta2.sigma","theta2.sigma",,"1.23 (0.76, 1.83)"
"sigma.sigma","sigma.sigma","2.18 (1.51, 3.04)","2.21 (1.51, 3.19)"
"beta[1,1]","beta[1,1]","0.22 (-2.38, 2.24)","0.85 (-0.31, 1.90)"
"beta[1,2]","beta[1,2]","3.68 (2.21, 4.96)","3.49 (2.76, 4.17)"
"beta[1,3]","beta[1,3]","-1.32 (-2.73, 0.06)","-0.74 (-1.82, 0.30)"
"beta[2,1]","beta[2,1]","6.76 (5.08, 8.31)","6.12 (4.60, 7.63)"
"beta[2,2]","beta[2,2]","0.86 (-0.39, 2.06)","0.87 (-0.13, 1.96)"
"beta[2,3]","beta[2,3]","1.63 (0.28, 3.26)","1.40 (0.25, 2.62)"
"beta[3,1]","beta[3,1]","3.41 (2.65, 4.15)","3.63 (2.84, 4.41)"
"beta[3,2]","beta[3,2]","0.55 (-0.21, 1.22)","0.62 (0.07, 1.12)"
"beta[3,3]","beta[3,3]","0.36 (-0.26, 0.86)","0.29 (-0.40, 0.91)"
"beta[4,1]","beta[4,1]","1.33 (0.65, 2.20)","1.00 (0.20, 1.71)"
"beta[4,2]","beta[4,2]","2.72 (2.03, 3.41)","2.81 (2.19, 3.48)"
"beta[4,3]","beta[4,3]","-0.23 (-0.89, 0.53)","0.24 (-0.43, 0.97)"
"beta[5,1]","beta[5,1]","0.11 (-0.89, 1.12)","-0.34 (-1.02, 0.61)"
"beta[5,2]","beta[5,2]","-1.79 (-2.52, -1.12)","-1.66 (-2.14, -1.16)"
"beta[5,3]","beta[5,3]","-0.03 (-0.66, 1.34)","0.48 (-0.13, 1.16)"
"beta[6,1]","beta[6,1]","0.48 (-0.14, 1.11)","0.20 (-0.47, 0.88)"
"beta[6,2]","beta[6,2]","1.35 (0.57, 2.02)","1.53 (0.98, 2.14)"
"beta[6,3]","beta[6,3]","-0.56 (-1.22, 0.16)","-0.23 (-0.92, 0.44)"
"deviance","deviance","3795.01294969232","3954.39688777867"
"penalty","penalty","201.926539579527","174.559484901594"
"penalised_deviance","penalised_deviance","3996.93948927185","4128.95637268027"
