"","parameter","mf1","mf2","mf3"
"theta1.mu","theta1.mu","42.89 (35.35, 50.80)","24.50 (3.61, 37.40)","22.05 (4.26, 32.26)"
"theta2.mu","theta2.mu","-0.35 (-0.40, -0.30)","-0.71 (-1.13, -0.09)","-0.32 (-0.76, -0.01)"
"theta3.mu","theta3.mu",,"12.48 (10.07, 14.64)","16.12 (14.23, 18.76)"
"sigma.mu","sigma.mu","3.42 (0.71, 4.85)","2.34 (0.15, 4.36)","2.28 (0.17, 4.26)"
"theta1.sigma","theta1.sigma","18.65 (13.64, 25.52)","24.91 (14.63, 41.33)","19.47 (11.42, 33.49)"
"theta2.sigma","theta2.sigma","0.12 (0.09, 0.17)","0.72 (0.34, 1.34)","0.88 (0.49, 1.43)"
"theta3.sigma","theta3.sigma",,"3.62 (1.84, 6.98)","4.09 (2.21, 7.77)"
"sigma.sigma","sigma.sigma","2.83 (1.55, 5.14)","3.56 (2.03, 5.77)","3.59 (2.01, 5.66)"
"deviance","deviance","2045.87862119051","1933.1695976692","1927.20791828857"
"penalty","penalty","81.5465136123573","100.759336140394","112.570774220369"
"penalised_deviance","penalised_deviance","2127.42513480287","2033.9289338096","2039.77869250894"
