"","f","theta2_constraint","gamma_constraint","strategy_predictors","name","deviance","penalty","penalised_deviance"
"p3_tc_gc_st","power3",TRUE,TRUE,TRUE,"p3_tc_gc_st",4122.65045709571,241.096619090706,4363.74707618641
"e3_tc_gc_st","exp3",TRUE,TRUE,TRUE,"e3_tc_gc_st",4019.76644422816,194.490274173374,4214.25671840153
"p3_tu_gc_st","power3",FALSE,TRUE,TRUE,"p3_tu_gc_st",4110.27049377226,210.709841714541,4320.98033548681
"e3_tu_gc_st","exp3",FALSE,TRUE,TRUE,"e3_tu_gc_st",3956.78934628979,283.702140005634,4240.49148629543
"p3_tc_gu_st","power3",TRUE,FALSE,TRUE,"p3_tc_gu_st",4506.76200510883,223.391623209281,4730.15362831811
"e3_tc_gu_st","exp3",TRUE,FALSE,TRUE,"e3_tc_gu_st",3844.13108052598,239.06568960262,4083.1967701286
"p3_tu_gu_st","power3",FALSE,FALSE,TRUE,"p3_tu_gu_st",4532.45044004619,265.866390180855,4798.31683022705
"e3_tu_gu_st","exp3",FALSE,FALSE,TRUE,"e3_tu_gu_st",3831.90269447659,263.189174515964,4095.09186899255
"p3_tc_gc_sf","power3",TRUE,TRUE,FALSE,"p3_tc_gc_sf",4808.17404797835,129.536957359719,4937.71100533807
"e3_tc_gc_sf","exp3",TRUE,TRUE,FALSE,"e3_tc_gc_sf",4739.59076735772,163.901044630281,4903.491811988
"p3_tu_gc_sf","power3",FALSE,TRUE,FALSE,"p3_tu_gc_sf",4235.15440506444,223.59469380717,4458.74909887161
"e3_tu_gc_sf","exp3",FALSE,TRUE,FALSE,"e3_tu_gc_sf",4201.25554984443,196.964118886358,4398.21966873079
"p3_tc_gu_sf","power3",TRUE,FALSE,FALSE,"p3_tc_gu_sf",4514.69401113331,248.605199706723,4763.29921084003
"e3_tc_gu_sf","exp3",TRUE,FALSE,FALSE,"e3_tc_gu_sf",4124.51698545809,200.656895536365,4325.17388099446
"p3_tu_gu_sf","power3",FALSE,FALSE,FALSE,"p3_tu_gu_sf",4332.6174064352,231.638352475562,4564.25575891076
"e3_tu_gu_sf","exp3",FALSE,FALSE,FALSE,"e3_tu_gu_sf",4055.33311707291,221.127866908167,4276.46098398107
